HpGP-COL-305	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COL-306	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-307	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-COL-308	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-COL-309	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-COL-208	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-COL-209	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COL-210	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-2010-100	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-2011-20	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-2011-80	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-4094	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-4245	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-4356	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-4410	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-4430	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-ALG-001	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-ALG-002	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-ALG-003	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-ALG-004	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-ALG-005	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-ALG-006	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-ALG-007	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-ALG-008	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-ALG-009	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-ALG-010	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
